fbgn	protein_id	total_length	disorder_fraction	max_disordered_region	n_disordered_residues	mean_score
FBgn0004655	FBpp0070413	1741	0.5945	135	1035	0.4480
FBgn0013432	FBpp0070415	92	0.8152	62	75	0.4677
FBgn0004861	FBpp0070416	1589	0.7489	147	1190	0.4794
FBgn0004860	FBpp0070417	1537	0.7437	134	1143	0.4763
FBgn0040394	FBpp0070418	560	0.5250	148	294	0.4639
FBgn0040376	FBpp0070421	228	0.3114	26	71	0.3602
FBgn0040066	FBpp0070422	361	0.3795	48	137	0.3944
FBgn0001404	FBpp0070423	457	0.1357	25	62	0.2979
FBgn0040336	FBpp0070426	370	0.3054	28	113	0.3235
FBgn0040333	FBpp0309091	750	0.3000	51	225	0.3232
FBgn0040334	FBpp0070429	304	0.1579	23	48	0.2723
FBgn0029629	FBpp0070430	269	0.6803	107	183	0.4415
FBgn0011566	FBpp0070431	468	0.4081	44	191	0.3731
FBgn0011606	FBpp0070432	1212	0.7096	190	860	0.4540
FBgn0040375	FBpp0289931	240	0.2917	26	70	0.3605
FBgn0040377	FBpp0308493	249	0.3896	48	97	0.3934
FBgn0040388	FBpp0306904	1105	0.6398	160	707	0.4324
FBgn0003714	FBpp0300988	154	0.3701	23	57	0.3697
FBgn0001150	FBpp0070444	448	0.7411	122	332	0.4911
FBgn0052797	FBpp0070445	202	0.7228	69	146	0.5143
FBgn0040385	FBpp0070446	353	0.6969	49	246	0.4659
FBgn0003371	FBpp0304140	1168	0.5659	166	661	0.4309
FBgn0003068	FBpp0070455	1218	0.6675	120	813	0.4451
FBgn0024993	FBpp0070456	446	0.7489	149	334	0.4953
FBgn0024996	FBpp0070457	352	0.2727	23	96	0.3443
FBgn0024997	FBpp0070458	626	0.6741	142	422	0.4533
FBgn0024991	FBpp0070459	825	0.6097	119	503	0.4304
FBgn0000928	FBpp0070462	1042	0.4165	72	434	0.3742
FBgn0000927	FBpp0070463	696	0.7859	202	547	0.4936
FBgn0000520	FBpp0070465	592	0.5912	56	350	0.4195
FBgn0024975	FBpp0070466	501	0.7006	93	351	0.4477
FBgn0040356	FBpp0070467	261	0.6552	60	171	0.4379
FBgn0003996	FBpp0070468	687	0.2838	27	195	0.3376
FBgn0040384	FBpp0070469	387	0.4548	66	176	0.3737
FBgn0024980	FBpp0070471	333	0.7658	79	255	0.4594
FBgn0000376	FBpp0070472	982	0.6629	72	651	0.4525
FBgn0024973	FBpp0070475	735	0.5184	127	381	0.4119
FBgn0024998	FBpp0070476	552	0.8659	158	478	0.5064
FBgn0024995	FBpp0271787	305	0.3213	41	98	0.3407
FBgn0024994	FBpp0271784	368	0.0978	13	36	0.2624
FBgn0024992	FBpp0070479	819	0.4786	56	392	0.3979
FBgn0000092	FBpp0070480	260	0.3692	22	96	0.3641
FBgn0025838	FBpp0070481	235	0.4553	55	107	0.4163
FBgn0011276	FBpp0070482	376	0.7340	56	276	0.4531
FBgn0004647	FBpp0070483	2703	0.4565	92	1234	0.3970
FBgn0040396	FBpp0070484	135	0.5630	18	76	0.4007
FBgn0000479	FBpp0070485	1209	0.6261	89	757	0.4444
FBgn0002933	FBpp0070499	107	0.7944	84	85	0.5292
FBgn0003374	FBpp0312344	287	0.8780	187	252	0.6112
FBgn0029660	FBpp0070502	558	0.4946	48	276	0.3935
FBgn0029662	FBpp0070503	582	0.6168	86	359	0.4301
FBgn0029661	FBpp0302614	386	0.3886	37	150	0.3466
FBgn0029659	FBpp0070507	200	0.1450	12	29	0.2715
FBgn0029658	FBpp0070508	190	0.0316	2	6	0.2502
FBgn0029657	FBpp0070509	205	0.2195	13	45	0.2760
FBgn0003086	FBpp0070512	172	0.8314	143	143	0.5695
FBgn0010296	FBpp0070513	57	0.1930	3	11	0.2995
FBgn0010295	FBpp0070514	146	0.8493	123	124	0.5690
FBgn0010294	FBpp0070515	112	0.8036	89	90	0.5501
FBgn0040393	FBpp0070516	119	0.8319	99	99	0.5708
FBgn0000644	FBpp0070517	282	0.5851	63	165	0.4164
FBgn0028746	FBpp0070518	99	0.6263	36	62	0.3905
FBgn0040355	FBpp0070521	229	0.3843	39	88	0.3742
FBgn0052793	FBpp0070525	826	0.7494	194	619	0.5268
FBgn0029642	FBpp0070526	249	0.1004	11	25	0.2160
FBgn0025645	FBpp0070527	272	0.5919	81	161	0.4427
FBgn0029643	FBpp0070528	293	0.8874	138	260	0.5940
FBgn0029644	FBpp0070529	238	0.8992	193	214	0.6185
FBgn0029645	FBpp0070530	294	0.9150	136	269	0.5953
FBgn0029646	FBpp0070531	305	0.7541	100	230	0.4928
FBgn0029647	FBpp0070532	148	0.7635	86	113	0.4425
FBgn0029648	FBpp0070533	249	0.1687	10	42	0.3310
FBgn0028369	FBpp0070534	956	0.3860	56	369	0.3772
FBgn0029649	FBpp0070536	264	0.6932	72	183	0.4677
FBgn0003285	FBpp0070537	764	0.5458	62	417	0.4074
FBgn0025644	FBpp0070538	263	0.5209	33	137	0.3785
FBgn0029639	FBpp0070539	195	0.9026	176	176	0.6328
FBgn0040354	FBpp0070540	327	0.8410	197	275	0.6113
FBgn0040353	FBpp0070541	330	0.5667	29	187	0.4185
FBgn0040352	FBpp0070542	258	0.8062	117	208	0.5244
FBgn0029664	FBpp0070543	436	0.5138	48	224	0.3961
FBgn0029666	FBpp0070544	637	0.5526	61	352	0.4240
FBgn0029669	FBpp0070545	110	0.4727	42	52	0.3808
FBgn0052792	FBpp0298009	569	0.4798	57	273	0.3845
FBgn0044046	FBpp0070552	159	0.7925	86	126	0.4707
FBgn0023215	FBpp0298278	790	0.6354	81	502	0.4502
FBgn0015286	FBpp0070558	201	0.5721	72	115	0.4203
FBgn0023216	FBpp0298280	723	0.5740	58	415	0.4290
FBgn0029672	FBpp0070561	497	0.4145	32	206	0.3768
FBgn0052791	FBpp0070563	554	0.5181	51	287	0.3936
FBgn0029667	FBpp0070564	479	0.7641	78	366	0.4761
FBgn0029665	FBpp0070565	191	0.2827	19	54	0.3589
FBgn0029663	FBpp0112979	726	0.2810	43	204	0.3029
FBgn0028491	FBpp0309176	815	0.3239	82	264	0.3391
FBgn0029681	FBpp0070585	493	0.3874	41	191	0.3761
FBgn0029686	FBpp0070586	911	0.2810	28	256	0.3553
FBgn0052786	FBpp0311141	911	0.2898	28	264	0.3569
FBgn0052783	FBpp0311142	911	0.2909	28	265	0.3571
FBgn0029687	FBpp0070589	269	0.5390	37	145	0.3924
FBgn0029690	FBpp0070594	583	0.2642	24	154	0.3505
FBgn0029689	FBpp0070595	631	0.2472	35	156	0.3466
FBgn0029688	FBpp0070596	2779	0.8838	392	2456	0.5005
FBgn0029685	FBpp0070597	862	0.1810	15	156	0.2909
FBgn0029694	FBpp0312488	233	0.5966	38	139	0.4473
FBgn0000221	FBpp0070606	325	0.3877	29	126	0.3581
FBgn0026084	FBpp0070607	129	0.8915	76	115	0.5167
FBgn0026085	FBpp0070610	188	0.5372	38	101	0.4367
FBgn0026083	FBpp0070611	1911	0.6970	136	1332	0.4723
FBgn0066114	FBpp0070612	306	0.4739	33	145	0.3820
FBgn0029697	FBpp0070613	1357	0.4819	129	654	0.4103
FBgn0029701	FBpp0070614	150	0.7133	74	107	0.4640
FBgn0029702	FBpp0070615	485	0.6660	100	323	0.4534
FBgn0029706	FBpp0070620	939	0.3514	40	330	0.3676
FBgn0029705	FBpp0070622	425	0.6494	35	276	0.4269
FBgn0040907	FBpp0070623	64	0.4219	18	27	0.4219
FBgn0002707	FBpp0070624	961	0.4901	55	471	0.4044
FBgn0040906	FBpp0070625	94	0.2234	21	21	0.3201
FBgn0029703	FBpp0070626	553	0.3363	61	186	0.3669
FBgn0040905	FBpp0070627	89	0.3933	23	35	0.3844
FBgn0040904	FBpp0070628	99	0.9596	61	95	0.4898
FBgn0029700	FBpp0070629	123	0.6341	50	78	0.4538
FBgn0052774	FBpp0297893	496	0.8871	396	440	0.5816
FBgn0041252	FBpp0070631	201	0.8109	135	163	0.4931
FBgn0029696	FBpp0070632	152	0.6645	87	101	0.4576
FBgn0000635	FBpp0310127	885	0.5706	60	505	0.4161
FBgn0026080	FBpp0070636	541	0.6488	52	351	0.4346
FBgn0026079	FBpp0070637	746	0.4866	57	363	0.4064
FBgn0004832	FBpp0070638	296	0.6993	83	207	0.4664
FBgn0029693	FBpp0070639	788	0.4505	57	355	0.3982
FBgn0000179	FBpp0303589	1023	0.5552	163	568	0.4335
FBgn0029708	FBpp0070642	595	0.4992	89	297	0.3977
FBgn0029709	FBpp0070643	208	0.4375	34	91	0.3584
FBgn0029710	FBpp0070644	508	0.3917	58	199	0.3661
FBgn0029712	FBpp0070645	246	0.3455	49	85	0.3751
FBgn0029714	FBpp0070646	252	0.3452	23	87	0.3654
FBgn0029716	FBpp0070647	630	0.7540	141	475	0.5531
FBgn0022768	FBpp0070653	1427	0.6776	82	967	0.4564
FBgn0029715	FBpp0070666	215	0.9163	101	197	0.5247
FBgn0029713	FBpp0070667	465	0.4903	70	228	0.3896
FBgn0029711	FBpp0070669	437	0.7529	115	329	0.4814
FBgn0003210	FBpp0070670	1160	0.4190	103	486	0.4007
FBgn0011760	FBpp0423173	267	0.7978	167	213	0.5310
FBgn0028325	FBpp0070679	443	0.4153	59	184	0.3724
FBgn0029722	FBpp0070680	479	0.3779	62	181	0.3841
FBgn0029727	FBpp0070683	479	0.1858	31	89	0.2780
FBgn0029729	FBpp0070684	237	0.3671	26	87	0.3716
FBgn0029730	FBpp0070685	450	0.6800	49	306	0.4559
FBgn0029733	FBpp0070689	524	0.3836	45	201	0.3672
FBgn0052772	FBpp0290219	520	0.7308	92	380	0.4711
FBgn0029737	FBpp0070691	576	0.1198	16	69	0.2696
FBgn0004368	FBpp0070692	1767	0.5976	63	1056	0.4202
FBgn0029740	FBpp0289295	215	0.2093	17	45	0.3229
FBgn0061196	FBpp0428112	346	0.6416	49	222	0.4315
FBgn0029728	FBpp0070699	1893	0.8648	223	1637	0.5189
FBgn0029726	FBpp0288876	128	0.7734	47	99	0.4602
FBgn0029725	FBpp0070702	408	0.8995	146	367	0.5151
FBgn0025679	FBpp0070703	311	0.5305	50	165	0.4107
FBgn0029724	FBpp0070704	301	0.4950	57	149	0.4072
FBgn0029745	FBpp0070709	324	0.5556	67	180	0.3999
FBgn0029746	FBpp0070710	422	0.6635	99	280	0.4652
FBgn0003449	FBpp0070716	216	0.6157	62	133	0.4621
FBgn0011761	FBpp0070717	107	0.4393	18	47	0.3847
FBgn0029753	FBpp0070718	477	0.8428	70	402	0.4822
FBgn0029755	FBpp0070719	428	0.7196	108	308	0.4538
FBgn0014024	FBpp0089396	941	0.6249	124	588	0.4566
FBgn0029754	FBpp0291095	513	0.4113	40	211	0.3720
FBgn0029752	FBpp0070722	157	0.2293	23	36	0.3385
FBgn0029751	FBpp0070724	272	0.7684	56	209	0.4862
FBgn0029750	FBpp0070725	749	0.7290	159	546	0.4686
FBgn0029747	FBpp0070726	581	0.8571	95	498	0.5102
FBgn0052767	FBpp0290216	1281	0.6714	124	860	0.4826
FBgn0026751	FBpp0070730	614	0.6840	130	420	0.4894
FBgn0010014	FBpp0070731	170	0.2118	12	36	0.3572
FBgn0029761	FBpp0310909	1174	0.6550	114	769	0.4363
FBgn0029763	FBpp0070739	1126	0.6261	90	705	0.4495
FBgn0029765	FBpp0070742	152	0.4276	22	65	0.3581
FBgn0029766	FBpp0070743	554	0.7329	103	406	0.5311
FBgn0029768	FBpp0428130	512	0.3398	43	174	0.3333
FBgn0029770	FBpp0070745	182	0.6648	47	121	0.4204
FBgn0029771	FBpp0070746	148	0.1622	18	24	0.2590
FBgn0026702	FBpp0070748	857	0.6126	89	525	0.4427
FBgn0004687	FBpp0300803	153	0.5359	29	82	0.4122
FBgn0029778	FBpp0070751	494	0.4555	39	225	0.3979
FBgn0052762	FBpp0070757	200	0.8150	116	163	0.4993
FBgn0029769	FBpp0312021	611	0.5237	34	320	0.4071
FBgn0029762	FBpp0070763	641	0.2324	48	149	0.2893
FBgn0029756	FBpp0070764	634	0.5126	36	325	0.3962
FBgn0028474	FBpp0070765	998	0.8016	319	800	0.5233
FBgn0029785	FBpp0070766	123	0.7561	59	93	0.4947
FBgn0003747	FBpp0070768	444	0.2455	26	109	0.3152
FBgn0000394	FBpp0070770	257	0.5019	28	129	0.3935
FBgn0029791	FBpp0290305	1023	0.4731	144	484	0.4004
FBgn0029795	FBpp0070772	478	0.5146	57	246	0.3866
FBgn0029798	FBpp0070773	985	0.4284	79	422	0.3922
FBgn0029799	FBpp0070774	259	0.4595	77	119	0.4511
FBgn0029801	FBpp0070775	355	0.4479	61	159	0.3990
FBgn0029809	FBpp0070779	370	0.4297	55	159	0.4019
FBgn0029810	FBpp0070780	650	0.8646	371	562	0.5881
FBgn0029811	FBpp0070781	145	0.3172	22	46	0.3098
FBgn0029812	FBpp0070782	307	0.3257	28	100	0.3600
FBgn0029814	FBpp0070783	873	0.6186	141	540	0.4462
FBgn0029816	FBpp0070784	233	0.4163	36	97	0.3870
FBgn0029817	FBpp0070785	293	0.7201	92	211	0.4547
FBgn0029820	FBpp0308971	494	0.5749	41	284	0.4157
FBgn0029821	FBpp0070789	494	0.2874	40	142	0.3433
FBgn0029822	FBpp0070790	553	0.6600	65	365	0.4511
FBgn0029823	FBpp0070792	537	0.5102	45	274	0.3832
FBgn0029819	FBpp0070793	558	0.4391	49	245	0.3812
FBgn0014340	FBpp0070794	827	0.6651	114	550	0.4560
FBgn0029818	FBpp0070795	674	0.2656	35	179	0.3198
FBgn0029813	FBpp0070797	216	0.2731	19	59	0.3452
FBgn0029807	FBpp0070798	1132	0.7041	183	797	0.4797
FBgn0029804	FBpp0070801	445	0.4809	38	214	0.3952
FBgn0013987	FBpp0070802	359	0.5933	34	213	0.4119
FBgn0029800	FBpp0070805	157	0.8025	105	126	0.4609
FBgn0261383	FBpp0070806	1284	0.5654	78	726	0.4173
FBgn0052758	FBpp0070808	531	0.3936	36	209	0.3834
FBgn0053080	FBpp0070809	925	0.4865	64	450	0.3931
FBgn0027564	FBpp0070811	556	0.1475	30	82	0.2679
FBgn0029789	FBpp0070812	980	0.3296	47	323	0.3461
FBgn0046687	FBpp0309197	399	0.2206	29	88	0.3072
