"Probe","gene","FBgn ID","stage/tissue","term"
"RE18236","term","FBcl0192249","stage 1-3","Yolk nuclei"
"RE18236","term","FBcl0192249","stage 1-3","All cortical nuclei"
"RE18236","term","FBcl0192249","stage 1-3","Cortical nuclei"
"RE18236","term","FBcl0192249","stage 4-5","Accumulation in subset nuclei"
"RE18236","term","FBcl0192249","stage 4-5","Exclusionary patterns"
"RE18236","term","FBcl0192249","stage 4-5","Diffuse apical localization"
"RE18236","term","FBcl0192249","stage 4-5","Apical enrichment"
"RE18236","term","FBcl0192249","stage 4-5","Accumulation nuclear subregion"
"RE18236","term","FBcl0192249","stage 4-5","Pole cell exclusion"
"RE18236","term","FBcl0192249","stage 4-5","Localized"
"RE18236","term","FBcl0192249","stage 4-5","Weak expression (>41ms exp)"
"RE18236","term","FBcl0192249","stage 4-5","Subcellular localization patterns"
"RE18236","term","FBcl0192249","stage 4-5","Embryonic localization patterns"
"RE18236","term","FBcl0192249","stage 4-5","Stage 4-5"
"RE18236","term","FBcl0192249","stage 4-5","Expressed"
"RE18236","term","FBcl0192249","stage 4-5","Segment polarity pattern"
"RE18236","term","FBcl0192249","stage 4-5","Intranuclear accumulation"
"RE18236","term","FBcl0192249","stage 4-5","Basal exclusion"
"RE18236","term","FBcl0192249","stage 4-5","Accumulation entire nucleus"
"RE18236","term","FBcl0192249","stage 4-5","Nuclei-associated localization"
"RE18236","term","FBcl0192249","stage 4-5","Apical localization"
"RE18236","term","FBcl0192249","stage 4-5","Gap-gene pattern"
"RE18236","term","FBcl0192249","stage 4-5","Segmented pattern"
"RE18236","term","FBcl0192249","stage 4-5","Zygotic"
"RE18236","term","FBcl0192249","stage 4-5","Subset blastoderm nuclei"
"RE18236","term","FBcl0192249","stage 4-5","Blastoderm nuclei"
"RE18236","term","FBcl0192249","stage 6-7","Zygotic"
"RE18236","term","FBcl0192249","stage 6-7","Blastoderm nuclei"
"RE18236","term","FBcl0192249","stage 6-7","Subset blastoderm nuclei"
"RE18236","term","FBcl0192249","stage 6-7","Expressed"
"RE18236","term","FBcl0192249","stage 6-7","Terminal-gene pattern"
"RE18236","term","FBcl0192249","stage 6-7","Segmented pattern"
"RE18236","term","FBcl0192249","stage 6-7","Stage 6-7"
"RE18236","term","FBcl0192249","stage 8-9","Stage 8-9"
"RE18236","term","FBcl0192249","stage 8-9","Non-Expressed"
"RE18236","term","FBcl0192249","stage 8-9","Degraded"
"RE18236","term","FBcl0192249","stage 8-9","Degraded completely stage 8"
"RE18236","term","FBcl0192249","stage 10-17","Yolk nuclei"
"RE18236","term","FBcl0192249","stage 10-17","Inside Yolk nuclei"
"RE18236","term","FBcl0192249","stage 10-17","Nuclei-associated localization"
"RE18236","term","FBcl0192249","stage 10-17","Accumulation nuclear subregion"
"RE18236","term","FBcl0192249","stage 10-17","Zygotic"
"RE18236","term","FBcl0192249","stage 10-17","Expressed"
"RE18236","term","FBcl0192249","stage 10-17","Stage 10-17"
"RE18236","term","FBcl0192249","stage 10-17","Localized"
"RE18236","term","FBcl0192249","stage 10-17","Subcellular localization patterns"
"RE18294","NPFR1","FBcl0224042","","Annotated by Ronit"
"RE18107","Pvf3","FBcl0197820","","Annotated by Ronit"
"RE18107","Pvf3","FBcl0197820","stage 1-3","Zygotic starting stage 3"
"RE18107","Pvf3","FBcl0197820","stage 1-3","Weak expression (>41ms exp)"
"RE18107","Pvf3","FBcl0197820","stage 1-3","Zygotic"
"RE18107","Pvf3","FBcl0197820","stage 1-3","All cortical nuclei"
"RE18107","Pvf3","FBcl0197820","stage 1-3","Cortical nuclei"
"RE18107","Pvf3","FBcl0197820","stage 1-3","Expressed"
"RE18107","Pvf3","FBcl0197820","stage 1-3","Stage 1-3"
"RE18107","Pvf3","FBcl0197820","stage 1-3","Maternal"
"RE18107","Pvf3","FBcl0197820","stage 1-3","Ubiquitous"
"RE18107","Pvf3","FBcl0197820","stage 4-5","Non-Expressed"
"RE18107","Pvf3","FBcl0197820","stage 4-5","Degraded completely stage 4"
"RE18107","Pvf3","FBcl0197820","stage 4-5","Degradation maternal transcripts"
"RE18107","Pvf3","FBcl0197820","stage 4-5","Degraded"
"RE18107","Pvf3","FBcl0197820","stage 4-5","Stage 4-5"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Zygotic starting stage 6"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Segmented pattern"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Single stripe"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Stage 6-7"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Medium expression (21-40ms exp)"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Anterior blastoderm nuclei"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Anterior yolk nuclei"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Expression in ectoderm"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Expressed"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Zygotic"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Subset blastoderm nuclei"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Subset yolk nuclei"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Blastoderm nuclei"
"RE18107","Pvf3","FBcl0197820","stage 6-7","Yolk Nuclei"
"RE18107","Pvf3","FBcl0197820","stage 8-9","Expression in API"
"RE18107","Pvf3","FBcl0197820","stage 8-9","Subset blastoderm nuclei"
"RE18107","Pvf3","FBcl0197820","stage 8-9","Single stripe"
"RE18107","Pvf3","FBcl0197820","stage 8-9","Ventral blastoderm nuclei"
"RE18107","Pvf3","FBcl0197820","stage 8-9","Segmented pattern"
"RE18107","Pvf3","FBcl0197820","stage 8-9","Anterior blastoderm nuclei"
"RE18107","Pvf3","FBcl0197820","stage 8-9","Expressed"
"RE18107","Pvf3","FBcl0197820","stage 8-9","Blastoderm nuclei"
"RE18107","Pvf3","FBcl0197820","stage 8-9","Stage 8-9"
"RE18107","Pvf3","FBcl0197820","stage 8-9","Zygotic"
"RE18107","Pvf3","FBcl0197820","stage 8-9","Expression in ectoderm"
"RE18107","Pvf3","FBcl0197820","stage 8-9","Medium expression (21-40ms exp)"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Subcellular localization patterns"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Zygotic"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Localized"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Blastoderm nuclei"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Brain"
"RE18107","Pvf3","FBcl0197820","stage 10-17","CNS"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Expressed"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Stage 10-17"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Accumulation nuclear subregion"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Nuclear in CNS"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Head"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Hemocytes"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Hemocytes specific area"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Nuclei-associated localization"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Segmented pattern"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Ventral nerve cord"
"RE18107","Pvf3","FBcl0197820","stage 10-17","Nuclear - VNC"
"RE18101","CG31764 (RE18101)","FBcl0205032","","Annotated by Ronit"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 1-3","Zygotic"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 1-3","Zygotic starting stage 3"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 1-3","Subset cortical nuclei"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 1-3","Weak expression (>41ms exp)"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 1-3","Maternal"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 1-3","Stage 1-3"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 1-3","Random cortical nuclei"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 1-3","Expressed"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 1-3","Cortical nuclei"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 1-3","Ubiquitous"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 4-5","Subcellular localization patterns"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 4-5","Pole cell exclusion"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 4-5","Exclusionary patterns"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 4-5","Stage 4-5"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 4-5","Expressed"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 4-5","Embryonic localization patterns"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 4-5","Apical exclusion"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 4-5","Localized"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 4-5","Weak expression (>41ms exp)"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 4-5","Yolk plasm localization"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 4-5","Yolk plasm enrichment"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 4-5","Basal exclusion"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 6-7","Weak expression (>41ms exp)"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 6-7","Stage 6-7"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 6-7","Localized"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 6-7","Basal localization"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 6-7","Ubiquitous"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 6-7","Subcellular localization patterns"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 6-7","Basal enrichment"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 6-7","Expressed"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 6-7","Embryonic localization patterns"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 8-9","Zygotic"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 8-9","Stage 8-9"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 8-9","Expressed"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 8-9","Blastoderm nuclei"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 8-9","Subset blastoderm nuclei"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 8-9","Weak expression (>41ms exp)"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 8-9","Random blastoderm nuclei"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 8-9","Ubiquitous"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Ventral nerve cord"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Specific tracheal branches"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Fat body"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Muscles-embryo"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Posterior spiracles"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Ring gland"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Nuclear in muscle cells nuclei"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Small Foci in CNS"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Salivary glands"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Tracheal system"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Salivary glands lumen"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Specific posterior spiracle pattern"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Muscles - subregion"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Small Foci"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Foci"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Nuclei-associated localization"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Zygotic"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Localized"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Subcellular localization patterns"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Expressed"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Stage 10-17"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Blastoderm nuclei"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","CNS"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Small Foci in muscle cells"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Small Foci in other tissues"
"RE18101","CG31764 (RE18101)","FBcl0205032","stage 10-17","Small Foci in tracheal cells"
"RE18169","CG12576","FBcl0202392","","Annotated by Ronit"
"RE18169","CG12576","FBcl0202392","stage 1-3","Weak expression (>41ms exp)"
"RE18169","CG12576","FBcl0202392","stage 1-3","Expressed"
"RE18169","CG12576","FBcl0202392","stage 1-3","Stage 1-3"
"RE18169","CG12576","FBcl0202392","stage 1-3","Maternal"
"RE18169","CG12576","FBcl0202392","stage 1-3","Ubiquitous"
"RE18169","CG12576","FBcl0202392","stage 4-5","Subcellular localization patterns"
"RE18169","CG12576","FBcl0202392","stage 4-5","Perinuclear subset of nuclei"
"RE18169","CG12576","FBcl0202392","stage 4-5","Nuclei-associated localization"
"RE18169","CG12576","FBcl0202392","stage 4-5","Stage 4-5"
"RE18169","CG12576","FBcl0202392","stage 4-5","Expressed"
"RE18169","CG12576","FBcl0202392","stage 4-5","Zygotic"
"RE18169","CG12576","FBcl0202392","stage 4-5","Yolk nuclei"
"RE18169","CG12576","FBcl0202392","stage 4-5","Blastoderm nuclei"
"RE18169","CG12576","FBcl0202392","stage 4-5","Subset yolk nuclei"
"RE18169","CG12576","FBcl0202392","stage 4-5","Pole cell enrichment"
"RE18169","CG12576","FBcl0202392","stage 4-5","Subset blastoderm nuclei"
"RE18169","CG12576","FBcl0202392","stage 4-5","Pole cell localization"
"RE18169","CG12576","FBcl0202392","stage 4-5","Yolk cortex localization"
"RE18169","CG12576","FBcl0202392","stage 4-5","Random blastoderm nuclei"
"RE18169","CG12576","FBcl0202392","stage 4-5","Random yolk nuclei"
"RE18169","CG12576","FBcl0202392","stage 4-5","Perinuclear localization"
"RE18169","CG12576","FBcl0202392","stage 4-5","Cytoplasmic foci"
"RE18169","CG12576","FBcl0202392","stage 4-5","Yolk cortex enrichment"
"RE18169","CG12576","FBcl0202392","stage 4-5","Perinuclear around pole cell nuclei"
"RE18169","CG12576","FBcl0202392","stage 4-5","Embryonic localization patterns"
"RE18169","CG12576","FBcl0202392","stage 4-5","Localized"
"RE18169","CG12576","FBcl0202392","stage 4-5","Weak expression (>41ms exp)"
"RE18169","CG12576","FBcl0202392","stage 6-7","Embryonic localization patterns"
"RE18169","CG12576","FBcl0202392","stage 6-7","Stage 6-7"
"RE18169","CG12576","FBcl0202392","stage 6-7","Expression in mesoderm"
"RE18169","CG12576","FBcl0202392","stage 6-7","Localized"
"RE18169","CG12576","FBcl0202392","stage 6-7","Expressed"
"RE18169","CG12576","FBcl0202392","stage 6-7","Basal enrichment"
"RE18169","CG12576","FBcl0202392","stage 6-7","Basal localization"
"RE18169","CG12576","FBcl0202392","stage 6-7","Subset blastoderm nuclei"
"RE18169","CG12576","FBcl0202392","stage 6-7","Subcellular localization patterns"
"RE18169","CG12576","FBcl0202392","stage 6-7","Ubiquitous"
"RE18169","CG12576","FBcl0202392","stage 6-7","Blastoderm nuclei"
"RE18169","CG12576","FBcl0202392","stage 6-7","Zygotic"
"RE18169","CG12576","FBcl0202392","stage 8-9","Ubiquitous"
"RE18169","CG12576","FBcl0202392","stage 8-9","Expressed"
"RE18169","CG12576","FBcl0202392","stage 8-9","Stage 8-9"
"RE18169","CG12576","FBcl0202392","stage 10-17","Stage 10-17"
"RE18169","CG12576","FBcl0202392","stage 10-17","Expressed"
"RE18169","CG12576","FBcl0202392","stage 10-17","Muscles-embryo"
"RE18169","CG12576","FBcl0202392","stage 10-17","Yolk nuclei"
"RE18169","CG12576","FBcl0202392","stage 10-17","Midgut"
"RE18169","CG12576","FBcl0202392","stage 10-17","Salivary glands lumen"
"RE18169","CG12576","FBcl0202392","stage 10-17","Salivary glands"
"RE18169","CG12576","FBcl0202392","stage 10-17","Zygotic"
"LP03131","CG8360","FBcl0186009","","Annotated by Ronit"
"LP03131","CG8360","FBcl0186009","stage 1-3","Non-Expressed"
"LP03131","CG8360","FBcl0186009","stage 1-3","Stage 1-3"
"LP03131","CG8360","FBcl0186009","stage 4-5","Non-Expressed"
"LP03131","CG8360","FBcl0186009","stage 4-5","Stage 4-5"
"LP03131","CG8360","FBcl0186009","stage 6-7","Stage 6-7"
"LP03131","CG8360","FBcl0186009","stage 6-7","Non-Expressed"
"LP03131","CG8360","FBcl0186009","stage 8-9","Non-Expressed"
"LP03131","CG8360","FBcl0186009","stage 8-9","Stage 8-9"
"LP03131","CG8360","FBcl0186009","stage 10-17","Non-Expressed"
"LP03131","CG8360","FBcl0186009","stage 10-17","Stage 10-17"
"LP03115","VhaSFD (LP03115)","FBcl0179563","","Annotated by Ronit"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 1-3","Maternal"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 1-3","Expressed"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 1-3","Medium expression (21-40ms exp)"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 1-3","Stage 1-3"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 1-3","Ubiquitous"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 4-5","Non-Expressed"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 4-5","Stage 4-5"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 6-7","Stage 6-7"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 6-7","Expressed"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 6-7","Ubiquitous"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 8-9","Ubiquitous"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 8-9","Stage 8-9"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 8-9","Expressed"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 10-17","Stage 10-17"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 10-17","Expressed"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 10-17","Salivary glands"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 10-17","Salivary glands lumen"
"LP03115","VhaSFD (LP03115)","FBcl0179563","stage 10-17","Zygotic"
"LP03218","CG11406","FBcl0188874","","Annotated by Ronit"
"LP03218","CG11406","FBcl0188874","stage 1-3","Expressed"
"LP03218","CG11406","FBcl0188874","stage 1-3","Stage 1-3"
"LP03218","CG11406","FBcl0188874","stage 1-3","Maternal"
"LP03218","CG11406","FBcl0188874","stage 1-3","Ubiquitous"
"LP03218","CG11406","FBcl0188874","stage 1-3","Weak expression (>41ms exp)"
"LP03218","CG11406","FBcl0188874","stage 4-5","Ubiquitous"
"LP03218","CG11406","FBcl0188874","stage 4-5","Subset blastoderm nuclei"
"LP03218","CG11406","FBcl0188874","stage 4-5","Blastoderm nuclei"
"LP03218","CG11406","FBcl0188874","stage 4-5","Weak expression (>41ms exp)"
"LP03218","CG11406","FBcl0188874","stage 4-5","Maternal"
"LP03218","CG11406","FBcl0188874","stage 4-5","Stage 4-5"
"LP03218","CG11406","FBcl0188874","stage 4-5","Expressed"
"LP03218","CG11406","FBcl0188874","stage 4-5","Zygotic starting stage 4"
"LP03218","CG11406","FBcl0188874","stage 4-5","Subset yolk nuclei"
"LP03218","CG11406","FBcl0188874","stage 4-5","Zygotic"
"LP03218","CG11406","FBcl0188874","stage 4-5","Yolk nuclei"
"LP03218","CG11406","FBcl0188874","stage 4-5","Random blastoderm nuclei"
"LP03218","CG11406","FBcl0188874","stage 4-5","Anterior yolk nuclei"
"LP03218","CG11406","FBcl0188874","stage 6-7","Stage 6-7"
"LP03218","CG11406","FBcl0188874","stage 6-7","Weak expression (>41ms exp)"
"LP03218","CG11406","FBcl0188874","stage 6-7","Expressed"
"LP03218","CG11406","FBcl0188874","stage 6-7","Maternal"
"LP03218","CG11406","FBcl0188874","stage 6-7","Yolk Nuclei"
"LP03218","CG11406","FBcl0188874","stage 6-7","Ubiquitous"
